Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777898636041,CLICK,0,0,com.mele.logger
1777898637814,CLICK,0,0,com.sec.android.app.launcher
1777898638850,CLICK,0,0,com.ss.android.ugc.trill
1777898639413,SCROLL,0,1081872,com.ss.android.ugc.trill
1777898641509,SCROLL,0,1081966,com.ss.android.ugc.trill
1777898641719,SCROLL,0,1082003,com.ss.android.ugc.trill
1777898641828,SCROLL,0,1083767,com.ss.android.ugc.trill
1777898641932,SCROLL,0,1083921,com.ss.android.ugc.trill
1777898644787,SCROLL,0,1083996,com.ss.android.ugc.trill
1777898644990,SCROLL,0,1084013,com.ss.android.ugc.trill
1777898645093,SCROLL,0,1084041,com.ss.android.ugc.trill
1777898645402,SCROLL,0,1084022,com.ss.android.ugc.trill
1777898645588,SCROLL,0,1083926,com.ss.android.ugc.trill
1777898645695,SCROLL,0,1083921,com.ss.android.ugc.trill
1777898646228,SCROLL,0,1084525,com.ss.android.ugc.trill
1777898646331,SCROLL,0,1085950,com.ss.android.ugc.trill
1777898646456,SCROLL,0,1085970,com.ss.android.ugc.trill
1777898649174,SCROLL,0,1086660,com.ss.android.ugc.trill
1777898649277,SCROLL,0,1088000,com.ss.android.ugc.trill
1777898649393,SCROLL,0,1088019,com.ss.android.ugc.trill
1777898653682,SCROLL,0,1088102,com.ss.android.ugc.trill
1777898653789,SCROLL,0,1088114,com.ss.android.ugc.trill
1777898654322,SCROLL,0,1088073,com.ss.android.ugc.trill
1777898654440,SCROLL,0,1088022,com.ss.android.ugc.trill
1777898654539,SCROLL,0,1088019,com.ss.android.ugc.trill
1777898655167,SCROLL,0,1089584,com.ss.android.ugc.trill
1777898655274,SCROLL,0,1090066,com.ss.android.ugc.trill
1777898655381,SCROLL,0,1090068,com.ss.android.ugc.trill
1777898661871,SCROLL,0,1090536,com.ss.android.ugc.trill
1777898661982,SCROLL,0,1092099,com.ss.android.ugc.trill
1777898662091,SCROLL,0,1092117,com.ss.android.ugc.trill
1777898672711,SCROLL,0,1093835,com.ss.android.ugc.trill
1777898672822,SCROLL,0,1094166,com.ss.android.ugc.trill
1777898675234,SCROLL,0,1096128,com.ss.android.ugc.trill
1777898675432,SCROLL,0,1096215,com.ss.android.ugc.trill
1777898678151,SCROLL,0,1098011,com.ss.android.ugc.trill
1777898678260,SCROLL,0,1098264,com.ss.android.ugc.trill
1777898681939,SCROLL,0,1100089,com.ss.android.ugc.trill
1777898682047,SCROLL,0,1100313,com.ss.android.ugc.trill
1777898683376,SCROLL,0,1102246,com.ss.android.ugc.trill
1777898683481,SCROLL,0,1102362,com.ss.android.ugc.trill
1777898687866,SCROLL,0,1104250,com.ss.android.ugc.trill
1777898687969,SCROLL,0,1104411,com.ss.android.ugc.trill
1777898692383,SCROLL,0,1106304,com.ss.android.ugc.trill
1777898692491,SCROLL,0,1106460,com.ss.android.ugc.trill
1777898695615,SCROLL,0,1106578,com.ss.android.ugc.trill
1777898695714,SCROLL,0,1108153,com.ss.android.ugc.trill
1777898695822,SCROLL,0,1108508,com.ss.android.ugc.trill
1777898696119,SCROLL,0,1108509,com.ss.android.ugc.trill
1777898697109,SCROLL,0,1108555,com.ss.android.ugc.trill
1777898697441,SCROLL,0,1108528,com.ss.android.ugc.trill
1777898697547,SCROLL,0,1108512,com.ss.android.ugc.trill
1777898697649,SCROLL,0,1108509,com.ss.android.ugc.trill
1777898698750,SCROLL,0,1109796,com.ss.android.ugc.trill
1777898698853,SCROLL,0,1110556,com.ss.android.ugc.trill
1777898698969,SCROLL,0,1110558,com.ss.android.ugc.trill
1777898702072,SCROLL,0,1110740,com.ss.android.ugc.trill
1777898702180,SCROLL,0,1112457,com.ss.android.ugc.trill
1777898702285,SCROLL,0,1112607,com.ss.android.ugc.trill
1777898704570,SCROLL,0,1112646,com.ss.android.ugc.trill
1777898704760,SCROLL,0,1112661,com.ss.android.ugc.trill
1777898705111,SCROLL,0,1112609,com.ss.android.ugc.trill
1777898705224,SCROLL,0,1112607,com.ss.android.ugc.trill
1777898707705,SCROLL,0,1112675,com.ss.android.ugc.trill
1777898707811,SCROLL,0,1112684,com.ss.android.ugc.trill
1777898708430,SCROLL,0,1112645,com.ss.android.ugc.trill
1777898708539,SCROLL,0,1112607,com.ss.android.ugc.trill
1777898709288,SCROLL,0,1114485,com.ss.android.ugc.trill
1777898709394,SCROLL,0,1114656,com.ss.android.ugc.trill
1777898711356,SCROLL,0,1116222,com.ss.android.ugc.trill
1777898711467,SCROLL,0,1116703,com.ss.android.ugc.trill
1777898711575,SCROLL,0,1116705,com.ss.android.ugc.trill
1777898713743,SCROLL,0,1118509,com.ss.android.ugc.trill
1777898713852,SCROLL,0,1118754,com.ss.android.ugc.trill
1777898717183,SCROLL,0,1120540,com.ss.android.ugc.trill
1777898717290,SCROLL,0,1120803,com.ss.android.ugc.trill
1777898719741,SCROLL,454,0,com.ss.android.ugc.trill
1777898719850,SCROLL,868,0,com.ss.android.ugc.trill
1777898719958,SCROLL,1028,0,com.ss.android.ugc.trill
1777898720068,SCROLL,1072,0,com.ss.android.ugc.trill
1777898720177,SCROLL,1080,0,com.ss.android.ugc.trill
1777898720760,SCROLL,1625,0,com.ss.android.ugc.trill
1777898720869,SCROLL,1984,0,com.ss.android.ugc.trill
1777898720976,SCROLL,2117,0,com.ss.android.ugc.trill
1777898721085,SCROLL,2154,0,com.ss.android.ugc.trill
1777898721194,SCROLL,2160,0,com.ss.android.ugc.trill
1777898722589,SCROLL,0,1122686,com.ss.android.ugc.trill
1777898722642,SCROLL,0,0,com.ss.android.ugc.trill
1777898722695,SCROLL,0,1122852,com.ss.android.ugc.trill
1777898724424,SCROLL,0,1123019,com.ss.android.ugc.trill
1777898724548,SCROLL,0,1123547,com.ss.android.ugc.trill
1777898724656,SCROLL,0,1124890,com.ss.android.ugc.trill
1777898724783,SCROLL,0,1124901,com.ss.android.ugc.trill
1777898727753,SCROLL,0,1126425,com.ss.android.ugc.trill
1777898727861,SCROLL,0,1126948,com.ss.android.ugc.trill
1777898727973,SCROLL,0,1126950,com.ss.android.ugc.trill
1777898736946,SCROLL,0,1128653,com.ss.android.ugc.trill
1777898737055,SCROLL,0,1128998,com.ss.android.ugc.trill
1777898737163,SCROLL,0,1128999,com.ss.android.ugc.trill
1777898740091,SCROLL,0,1129276,com.ss.android.ugc.trill
1777898740199,SCROLL,0,1129282,com.ss.android.ugc.trill
1777898740339,SCROLL,0,1129292,com.ss.android.ugc.trill
1777898740441,SCROLL,0,1129010,com.ss.android.ugc.trill
