Timestamp,Sensor_Type,X,Y,Z
1777902042308,GYRO,-0.005345067,-0.013286309,-6.108648E-4
1777902042308,ACCEL,0.22612174,0.010767702,9.803394
1777902042327,GYRO,-0.0056504994,-0.011148282,-9.162972E-4
1777902042327,ACCEL,0.21894327,-0.0023928226,9.775877
1777902042347,ACCEL,0.2321038,-0.0071784677,9.772287
1777902042347,GYRO,-0.007788526,-0.01725693,-3.054324E-4
1777902042366,ACCEL,0.23330021,-0.008374879,9.795019
1777902042366,GYRO,-0.0074830935,-0.016646065,-3.054324E-4
1777902042384,GYRO,-0.007177661,-0.013897174,-3.054324E-4
1777902042384,ACCEL,0.23808585,-0.011964113,9.823733
1777902042403,ACCEL,0.23449662,-0.040677983,9.821341
1777902042404,GYRO,-0.0044287695,-0.007177661,-0.0012217296
1777902042422,GYRO,0.0065667965,0.020616686,3.054324E-4
1777902042422,ACCEL,0.21655045,-0.022731815,9.797412
1777902042442,GYRO,-0.0029016077,-0.0065667965,-3.054324E-4
1777902042442,ACCEL,0.2213361,-0.020338992,9.798609
1777902042461,ACCEL,0.22013968,-0.013160525,9.762716
1777902042461,GYRO,0.0010690134,0.00320704,0.0
1777902042480,ACCEL,0.21894327,-0.016749758,9.80818
1777902042480,GYRO,-0.0010690134,-4.581486E-4,0.0
1777902042499,GYRO,-7.6358096E-4,-4.581486E-4,3.054324E-4
1777902042499,ACCEL,0.21535404,-0.0071784677,9.786645
1777902042518,GYRO,-7.6358096E-4,-7.6358096E-4,-6.108648E-4
1777902042518,ACCEL,0.24885355,-0.02871387,9.787841
1777902042537,GYRO,-4.581486E-4,7.6358096E-4,3.054324E-4
1777902042537,ACCEL,0.23928227,-0.034695927,9.798609
1777902042556,GYRO,-7.6358096E-4,7.6358096E-4,0.0
1777902042556,ACCEL,0.21894327,-0.016749758,9.792626
1777902042575,GYRO,-1.527162E-4,7.6358096E-4,0.0
1777902042575,ACCEL,0.20219351,-0.014356935,9.80818
1777902042594,GYRO,-7.6358096E-4,-7.6358096E-4,6.108648E-4
1777902042594,ACCEL,0.20219351,-0.02871387,9.796216
1777902042613,GYRO,-0.0010690134,-0.0010690134,3.054324E-4
1777902042613,ACCEL,0.23449662,-0.02871387,9.799805
1777902042633,GYRO,-4.581486E-4,-1.527162E-4,0.0
1777902042633,ACCEL,0.24646074,-0.01794617,9.798609
1777902042651,ACCEL,0.22851457,-0.010767702,9.793823
1777902042652,GYRO,-1.527162E-4,-1.527162E-4,-3.054324E-4
1777902042671,GYRO,1.527162E-4,-4.581486E-4,6.108648E-4
1777902042671,ACCEL,0.22253251,0.008374879,9.796216
1777902042690,GYRO,-4.581486E-4,-4.581486E-4,0.0
1777902042690,ACCEL,0.23449662,-0.015553347,9.801002
1777902042709,GYRO,-1.527162E-4,7.6358096E-4,0.0
1777902042709,ACCEL,0.2428715,0.0011964113,9.781859
1777902042728,ACCEL,0.22971097,-0.013160525,9.797412
1777902042728,GYRO,-1.527162E-4,-1.527162E-4,-6.108648E-4
1777902042747,GYRO,-4.581486E-4,4.581486E-4,0.0
1777902042747,ACCEL,0.2213361,-0.0035892338,9.797412
1777902042766,GYRO,0.035582874,-0.028252495,3.054324E-4
1777902042766,ACCEL,0.17826529,-0.09810573,10.336994
1777902042785,ACCEL,0.2632105,0.069391854,8.977871
1777902042785,GYRO,0.02367101,0.025809037,-0.0012217296
1777902042804,GYRO,-0.03008509,-0.0059559317,-0.0012217296
1777902042804,ACCEL,0.28713873,-0.0071784677,10.076176
1777902042823,GYRO,-0.021532983,0.007788526,-3.054324E-4
1777902042823,ACCEL,0.24765715,0.0,9.735199
1777902042842,GYRO,-4.581486E-4,0.0013744457,-0.0012217296
1777902042843,ACCEL,0.23808585,-0.02632105,9.802198
1777902042861,ACCEL,0.22971097,-0.041874398,9.817751
1777902042861,GYRO,-0.0035124724,-0.002290743,0.0
1777902042880,GYRO,-4.581486E-4,7.6358096E-4,-3.054324E-4
1777902042880,ACCEL,0.19860429,-0.031106694,9.773484
1777902042900,GYRO,-0.0010690134,-4.581486E-4,-6.108648E-4
1777902042900,ACCEL,0.19860429,-0.049052864,9.792626
1777902042919,GYRO,-4.581486E-4,1.527162E-4,-0.0012217296
1777902042919,ACCEL,0.20219351,-0.058624156,9.804591
1777902042938,GYRO,-4.581486E-4,-7.6358096E-4,-0.0018325944
1777902042938,ACCEL,0.23688944,-0.02632105,9.786645
1777902042957,GYRO,-4.581486E-4,1.527162E-4,-9.162972E-4
1777902042957,ACCEL,0.24047868,-0.0071784677,9.793823
1777902042976,GYRO,-4.581486E-4,1.527162E-4,-6.108648E-4
1777902042976,ACCEL,0.21894327,0.0035892338,9.793823
1777902042995,GYRO,-4.581486E-4,7.6358096E-4,-3.054324E-4
1777902042995,ACCEL,0.20219351,-0.022731815,9.796216
1777902043014,GYRO,-1.527162E-4,-7.6358096E-4,-3.054324E-4
1777902043014,ACCEL,0.21296121,-0.051445685,9.795019
1777902043033,GYRO,-0.0010690134,-1.527162E-4,3.054324E-4
1777902043033,ACCEL,0.21774685,-0.05623133,9.804591
1777902043053,ACCEL,0.24646074,0.0035892338,9.786645
1777902043053,GYRO,4.581486E-4,-7.6358096E-4,0.0
1777902043072,ACCEL,0.2536392,0.040677983,9.795019
1777902043072,GYRO,-4.581486E-4,1.527162E-4,-0.0012217296
1777902043090,GYRO,1.527162E-4,0.0010690134,0.0
1777902043091,ACCEL,0.19980069,0.04426722,9.784252
1777902043110,GYRO,-1.527162E-4,-7.6358096E-4,0.0018325944
1777902043110,ACCEL,0.21535404,0.011964113,9.786645
1777902043129,GYRO,-1.527162E-4,-4.581486E-4,0.0015271619
1777902043129,ACCEL,0.23688944,-0.029910283,9.79143
