Timestamp,Sensor_Type,X,Y,Z
1777532049933,ACCEL,0.51565325,-0.10767702,9.754341
1777532049948,ACCEL,0.50009996,-0.11844472,9.74477
1777532049948,GYRO,-0.0015271619,-0.00320704,-3.054324E-4
1777532049967,ACCEL,0.5096712,-0.1268196,9.735199
1777532049967,GYRO,-9.162972E-4,-0.0019853106,-3.054324E-4
1777532049986,GYRO,-0.0027488915,-0.0044287695,-6.108648E-4
1777532049987,ACCEL,0.4953143,-0.12323037,9.725628
1777532050005,ACCEL,0.5288138,-0.13040884,9.730413
1777532050005,GYRO,-0.0061086477,-0.012064579,-0.0021380268
1777532050024,ACCEL,0.5204389,-0.13758731,9.753145
1777532050024,GYRO,-0.0048869182,-0.00962112,-0.0015271619
1777532050043,ACCEL,0.5395815,-0.12562318,9.760324
1777532050043,GYRO,-0.0021380268,-0.0025961753,6.108648E-4
1777532050062,ACCEL,0.51086766,-0.12203395,9.742377
1777532050062,GYRO,-6.108648E-4,-1.527162E-4,-3.054324E-4
1777532050083,GYRO,0.0012217296,0.002290743,0.0
1777532050084,ACCEL,0.51086766,-0.12801601,9.735199
1777532050100,ACCEL,0.5204389,-0.12203395,9.750752
1777532050100,GYRO,6.108648E-4,7.6358096E-4,6.108648E-4
1777532050121,ACCEL,0.51445687,-0.12323037,9.735199
1777532050121,GYRO,0.0015271619,0.0035124724,-3.054324E-4
1777532050139,GYRO,0.0012217296,0.0019853106,0.0
1777532050139,ACCEL,0.5192425,-0.1160519,9.742377
1777532050158,GYRO,0.0036651888,0.006261364,-6.108648E-4
1777532050158,ACCEL,0.5072784,-0.12921242,9.742377
1777532050177,GYRO,0.0042760535,0.008399391,-0.0012217296
1777532050177,ACCEL,0.5132605,-0.12921242,9.736395
1777532050196,GYRO,0.004581486,0.009926553,-9.162972E-4
1777532050196,ACCEL,0.51206404,-0.10887343,9.7399845
1777532050215,ACCEL,0.4953143,-0.12323037,9.712467
1777532050215,GYRO,0.0027488915,0.0056504994,-3.054324E-4
1777532050234,GYRO,-6.108648E-4,-0.0013744457,-3.054324E-4
1777532050234,ACCEL,0.5132605,-0.11006984,9.747163
1777532050253,GYRO,-6.108648E-4,-0.0010690134,6.108648E-4
1777532050254,ACCEL,0.4977071,-0.11006984,9.753145
1777532050273,GYRO,9.162972E-4,0.0025961753,9.162972E-4
1777532050274,ACCEL,0.52522457,-0.09930214,9.769895
1777532050292,ACCEL,0.5132605,-0.13878371,9.725628
1777532050292,GYRO,0.0030543238,0.006261364,9.162972E-4
1777532050310,ACCEL,0.50368917,-0.12562318,9.735199
1777532050310,GYRO,0.0018325944,0.003817905,9.162972E-4
1777532050330,ACCEL,0.5180461,-0.10049855,9.756734
1777532050331,GYRO,0.0024434591,0.003817905,9.162972E-4
1777532050349,ACCEL,0.51206404,-0.1268196,9.741181
1777532050349,GYRO,6.108648E-4,0.0010690134,0.0
1777532050368,GYRO,-3.054324E-4,-4.581486E-4,3.054324E-4
1777532050368,ACCEL,0.50488555,-0.11365908,9.745967
1777532050387,ACCEL,0.506082,-0.11964113,9.750752
1777532050387,GYRO,3.054324E-4,4.581486E-4,-3.054324E-4
1777532050406,GYRO,6.108648E-4,0.0019853106,3.054324E-4
1777532050407,ACCEL,0.51206404,-0.11485548,9.742377
1777532050425,ACCEL,0.5072784,-0.104087785,9.726824
1777532050426,GYRO,3.054324E-4,4.581486E-4,-3.054324E-4
1777532050446,ACCEL,0.5024927,-0.111266255,9.745967
1777532050446,GYRO,-3.054324E-4,-7.6358096E-4,3.054324E-4
1777532050464,ACCEL,0.52522457,-0.124426775,9.743574
1777532050464,GYRO,-9.162972E-4,-4.581486E-4,9.162972E-4
1777532050483,GYRO,-0.0,4.581486E-4,0.0012217296
1777532050483,ACCEL,0.50488555,-0.1160519,9.734002
1777532050502,ACCEL,0.5072784,-0.11964113,9.742377
1777532050502,GYRO,6.108648E-4,0.0019853106,9.162972E-4
