Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777896931101,CLICK,0,0,com.mele.logger
1777896931851,SCROLL,0,0,com.sec.android.app.launcher
1777896933035,CLICK,0,0,com.sec.android.app.launcher
1777896933644,SCROLL,16,0,com.ss.android.ugc.trill
1777896935022,CLICK,0,0,com.ss.android.ugc.trill
1777896935551,SCROLL,0,0,com.ss.android.ugc.trill
1777896935698,CLICK,0,0,com.ss.android.ugc.trill
1777896939738,CLICK,0,0,com.ss.android.ugc.trill
1777896940389,SCROLL,0,2049,com.ss.android.ugc.trill
1777896941478,CLICK,0,0,com.ss.android.ugc.trill
1777896942083,SCROLL,0,4098,com.ss.android.ugc.trill
1777896945357,SCROLL,0,5590,com.ss.android.ugc.trill
1777896945461,SCROLL,0,6146,com.ss.android.ugc.trill
1777896945593,SCROLL,0,6147,com.ss.android.ugc.trill
1777896946793,SCROLL,633,0,com.ss.android.ugc.trill
1777896946894,SCROLL,936,0,com.ss.android.ugc.trill
1777896947003,SCROLL,1046,0,com.ss.android.ugc.trill
1777896947111,SCROLL,1076,0,com.ss.android.ugc.trill
1777896947228,SCROLL,1080,0,com.ss.android.ugc.trill
1777896947988,SCROLL,0,7049,com.ss.android.ugc.trill
1777896948088,SCROLL,0,0,com.ss.android.ugc.trill
1777896948098,SCROLL,0,8189,com.ss.android.ugc.trill
1777896948263,SCROLL,0,8196,com.ss.android.ugc.trill
1777896949926,SCROLL,500,0,com.ss.android.ugc.trill
1777896950036,SCROLL,877,0,com.ss.android.ugc.trill
1777896950141,SCROLL,1026,0,com.ss.android.ugc.trill
1777896950249,SCROLL,1071,0,com.ss.android.ugc.trill
1777896950359,SCROLL,1080,0,com.ss.android.ugc.trill
1777896950641,SCROLL,1473,0,com.ss.android.ugc.trill
1777896950750,SCROLL,1918,0,com.ss.android.ugc.trill
1777896950860,SCROLL,2096,0,com.ss.android.ugc.trill
1777896950966,SCROLL,2150,0,com.ss.android.ugc.trill
1777896951075,SCROLL,2159,0,com.ss.android.ugc.trill
1777896951184,SCROLL,2160,0,com.ss.android.ugc.trill
1777896951670,SCROLL,0,8209,com.ss.android.ugc.trill
1777896951808,SCROLL,0,8214,com.ss.android.ugc.trill
1777896951948,SCROLL,0,9777,com.ss.android.ugc.trill
1777896952032,SCROLL,0,0,com.ss.android.ugc.trill
1777896952054,SCROLL,0,10243,com.ss.android.ugc.trill
1777896952200,SCROLL,0,10245,com.ss.android.ugc.trill
1777896953019,SCROLL,472,0,com.ss.android.ugc.trill
1777896953126,SCROLL,874,0,com.ss.android.ugc.trill
1777896953235,SCROLL,1029,0,com.ss.android.ugc.trill
1777896953344,SCROLL,1073,0,com.ss.android.ugc.trill
1777896953453,SCROLL,1080,0,com.ss.android.ugc.trill
1777896953887,SCROLL,0,11943,com.ss.android.ugc.trill
1777896953973,SCROLL,0,0,com.ss.android.ugc.trill
1777896953996,SCROLL,0,12293,com.ss.android.ugc.trill
1777896954104,SCROLL,0,12294,com.ss.android.ugc.trill
1777896954823,SCROLL,0,13203,com.ss.android.ugc.trill
1777896954931,SCROLL,0,14336,com.ss.android.ugc.trill
1777896955051,SCROLL,0,14343,com.ss.android.ugc.trill
1777896958458,SCROLL,0,16072,com.ss.android.ugc.trill
1777896958589,SCROLL,0,16391,com.ss.android.ugc.trill
1777896958714,SCROLL,0,16392,com.ss.android.ugc.trill
1777896960112,SCROLL,0,17521,com.ss.android.ugc.trill
1777896960205,SCROLL,0,18437,com.ss.android.ugc.trill
1777896960320,SCROLL,0,18441,com.ss.android.ugc.trill
1777896963386,SCROLL,0,20158,com.ss.android.ugc.trill
1777896963491,SCROLL,0,20490,com.ss.android.ugc.trill
1777896968013,SCROLL,0,21883,com.ss.android.ugc.trill
1777896968121,SCROLL,0,22535,com.ss.android.ugc.trill
1777896968234,SCROLL,0,22539,com.ss.android.ugc.trill
1777896969312,SCROLL,0,22744,com.ss.android.ugc.trill
1777896969482,SCROLL,0,22748,com.ss.android.ugc.trill
1777896969590,SCROLL,0,22758,com.ss.android.ugc.trill
1777896969700,SCROLL,0,22844,com.ss.android.ugc.trill
1777896969805,SCROLL,0,24461,com.ss.android.ugc.trill
1777896969912,SCROLL,0,24588,com.ss.android.ugc.trill
1777896971014,SCROLL,0,25709,com.ss.android.ugc.trill
1777896971118,SCROLL,0,26629,com.ss.android.ugc.trill
1777896971239,SCROLL,0,26637,com.ss.android.ugc.trill
1777896972701,SCROLL,0,28178,com.ss.android.ugc.trill
1777896972809,SCROLL,0,28684,com.ss.android.ugc.trill
1777896972935,SCROLL,0,28686,com.ss.android.ugc.trill
1777896973953,SCROLL,0,29569,com.ss.android.ugc.trill
1777896974063,SCROLL,0,30723,com.ss.android.ugc.trill
1777896974194,SCROLL,0,30735,com.ss.android.ugc.trill
1777896974851,SCROLL,0,31901,com.ss.android.ugc.trill
1777896974963,SCROLL,0,32780,com.ss.android.ugc.trill
1777896975095,SCROLL,0,32784,com.ss.android.ugc.trill
1777896975981,SCROLL,417,0,com.ss.android.ugc.trill
1777896976089,SCROLL,852,0,com.ss.android.ugc.trill
1777896976197,SCROLL,1021,0,com.ss.android.ugc.trill
1777896976304,SCROLL,1071,0,com.ss.android.ugc.trill
1777896976411,SCROLL,1079,0,com.ss.android.ugc.trill
1777896976513,SCROLL,1080,0,com.ss.android.ugc.trill
1777896976909,SCROLL,0,33498,com.ss.android.ugc.trill
1777896977009,SCROLL,0,0,com.ss.android.ugc.trill
1777896977018,SCROLL,0,34826,com.ss.android.ugc.trill
1777896977132,SCROLL,0,34833,com.ss.android.ugc.trill
