Timestamp,Sensor_Type,X,Y,Z
1777897319415,ACCEL,-0.90329057,6.9786673,6.3290157
1777897319425,GYRO,-0.02565632,-0.19379686,0.24388777
1777897319435,ACCEL,-0.6257231,7.051648,6.5455666
1777897319444,GYRO,-0.091629714,-0.21945317,0.16539164
1777897319454,ACCEL,-0.51206404,7.0504518,6.800402
1777897319463,GYRO,-0.1273653,-0.17486005,0.057879437
1777897319472,ACCEL,-0.76689965,6.9212394,6.991828
1777897319482,GYRO,-0.15913028,-0.045967575,-0.0029016077
1777897319492,ACCEL,-1.0456635,6.9415784,6.7908306
1777897319501,GYRO,-0.20311254,0.07345649,-0.014508039
1777897319511,ACCEL,-0.9403793,6.9116683,6.530013
1777897319521,GYRO,-0.2837467,0.09086613,-0.03375028
1777897319530,ACCEL,-0.60777694,6.9152575,6.806384
1777897319539,GYRO,-0.3460549,0.062460925,-0.093615025
1777897319549,ACCEL,-0.4833502,6.768099,7.103094
1777897319559,GYRO,-0.32039857,1.527162E-4,-0.1791361
1777897319568,ACCEL,-0.5563313,6.530013,7.194021
1777897319577,GYRO,-0.22082762,-0.15347977,-0.23075417
1777897319587,ACCEL,-0.4438686,6.437889,7.1389866
1777897319597,GYRO,-0.12247839,-0.2784016,-0.26343542
1777897319606,ACCEL,-0.2620141,6.6532435,6.719046
1777897319616,GYRO,-0.10476331,-0.43050694,-0.33093598
1777897319626,ACCEL,0.010767702,7.062416,6.2608204
1777897319635,GYRO,-0.18448116,-0.62384564,-0.45494154
1777897319646,ACCEL,0.25962126,7.173682,6.1974106
1777897319654,GYRO,-0.32772896,-0.7808379,-0.60796314
1777897319663,ACCEL,0.37328035,6.77767,6.4295144
1777897319673,GYRO,-0.46150833,-0.87368935,-0.74449146
1777897319682,ACCEL,0.16510476,6.367301,6.710671
1777897319693,GYRO,-0.5345067,-0.9222531,-0.77381295
1777897319702,ACCEL,0.09212367,6.24766,6.995417
1777897319711,GYRO,-0.5760455,-1.0215186,-0.7221949
1777897319721,ACCEL,0.08853444,6.0526447,7.9501534
1777897319731,GYRO,-0.539699,-0.9320269,-0.64339334
1777897319740,ACCEL,0.32662028,5.9138613,8.1942215
1777897319749,GYRO,-0.5189296,-0.69653857,-0.6082686
1777897319759,ACCEL,-0.18544376,5.6590257,8.013563
1777897319768,GYRO,-0.5732966,-0.44638944,-0.56184286
1777897319778,ACCEL,-1.1318051,5.5166526,7.7647095
1777897319788,GYRO,-0.6685915,-0.27748534,-0.35506517
1777897319797,ACCEL,-0.8542377,5.2331033,7.838887
1777897319807,GYRO,-0.75411254,-0.23869541,-0.19868377
1777897319816,ACCEL,-0.58624154,5.011767,8.7673025
1777897319826,GYRO,-0.75808316,-0.029474225,-0.13087778
1777897319836,ACCEL,-0.4953143,5.1457653,9.036494
1777897319845,GYRO,-0.6829468,0.30100363,-0.102472566
1777897319856,ACCEL,-0.44626144,5.4795637,8.483752
1777897319864,GYRO,-0.6157517,0.41890052,-0.17730351
1777897319873,ACCEL,-0.654437,5.4424753,8.065009
1777897319883,GYRO,-0.5253437,0.21456626,-0.29397866
1777897319893,ACCEL,-1.0444671,5.0548377,8.26122
1777897319903,GYRO,-0.34055713,-0.041691523,-0.36514443
1777897319913,ACCEL,-1.1856437,4.7880383,8.185846
1777897319921,GYRO,-0.22693627,-0.17424917,-0.37094763
1777897319931,ACCEL,-1.3040884,4.855037,8.321041
1777897319941,GYRO,-0.2706131,-0.038331766,-0.29856017
1777897319950,ACCEL,-1.2107682,5.1206403,8.045866
1777897319961,GYRO,-0.40439248,0.099418245,-0.23930627
1777897319969,ACCEL,-1.0755738,5.1756754,8.014759
1777897319980,GYRO,-0.44470957,0.1385136,-0.23533566
1777897319988,ACCEL,-1.1306087,4.9519463,8.051848
1777897319997,GYRO,-0.43982264,0.15347977,-0.25213444
1777897320007,ACCEL,-1.7623138,4.755735,8.199007
1777897320017,GYRO,-0.3555233,0.048716467,-0.18219042
1777897320027,ACCEL,-1.4117653,4.833502,8.073383
1777897320035,GYRO,-0.25503606,-0.05574141,-0.159283
1777897320045,ACCEL,-1.463211,4.4446683,8.079366
1777897320056,GYRO,-0.19944735,-0.06398808,-0.046883874
1777897320065,ACCEL,-1.2562319,4.4255257,8.2660055
1777897320075,GYRO,-0.17379104,-0.025503604,0.092087865
1777897320083,ACCEL,-0.8662018,4.5822554,8.092526
1777897320094,GYRO,-0.1621846,-0.0490219,0.108581215
1777897320104,ACCEL,-0.5192425,4.772485,7.9633136
1777897320112,GYRO,-0.2480111,-0.114689864,0.037415467
1777897320122,ACCEL,-0.75254273,4.6432724,8.543573
1777897320132,GYRO,-0.28893903,-0.13912445,0.024587307
1777897320141,ACCEL,-0.6867401,4.3932223,8.965906
1777897320152,GYRO,-0.29932374,-0.091782436,0.042302385
1777897320160,ACCEL,-0.61016977,4.510471,9.335598
1777897320170,GYRO,-0.28038692,0.049327333,0.050854493
1777897320179,ACCEL,-0.47856453,4.7198424,9.255438
1777897320188,GYRO,-0.16462806,0.10522146,-0.03894263
1777897320198,ACCEL,-0.81595254,4.4614177,8.845069
1777897320207,GYRO,-0.06291907,0.055130545,-0.082924895
1777897320218,ACCEL,-1.2011969,4.2185464,8.562716
1777897320227,GYRO,-0.07208204,0.0035124724,-0.018173227
1777897320237,ACCEL,-1.2418749,4.1850467,8.609376
