Timestamp,Sensor_Type,X,Y,Z
1777951732631,ACCEL,1.0624132,5.355137,8.252846
1777951732647,ACCEL,1.0193424,5.4843497,8.250452
1777951732647,GYRO,-0.014966187,-0.018325943,0.012064579
1777951732666,GYRO,-0.02565632,0.04703659,0.02489274
1777951732666,ACCEL,0.9954142,5.505885,7.9764743
1777951732686,ACCEL,1.0923235,5.4125648,7.9944205
1777951732686,GYRO,-0.076358095,0.01527162,0.028863361
1777951732704,ACCEL,1.0564312,5.383851,8.285149
1777951732705,GYRO,-0.07941242,-0.009162972,0.031917684
1777951732723,ACCEL,0.9834501,5.483153,8.3174515
1777951732723,GYRO,-0.027488915,0.032986697,0.048716467
1777951732743,ACCEL,1.0025927,5.515456,8.048259
1777951732743,GYRO,-0.0070249448,0.05497783,0.048411034
1777951732762,ACCEL,0.971486,5.54417,7.9393854
1777951732762,GYRO,-0.032986697,-0.0051923506,0.024587307
1777951732781,ACCEL,0.9798609,5.4676,8.096115
1777951732781,GYRO,-0.055283263,-0.0754418,0.0044287695
1777951732800,GYRO,-0.02443459,-0.09010255,-0.0044287695
1777951732800,ACCEL,1.0516455,5.419743,8.116454
1777951732819,ACCEL,1.0301101,5.4616175,7.793423
1777951732819,GYRO,0.015577052,-0.120034926,-0.017867794
1777951732838,ACCEL,1.0516455,5.4699926,7.584051
1777951732838,GYRO,0.0024434591,-0.16920954,-0.029779658
1777951732857,ACCEL,1.1126626,5.3647084,7.8520474
1777951732857,GYRO,-0.050396346,-0.16859868,-0.033444848
1777951732876,ACCEL,1.0695918,5.2666025,8.246863
1777951732876,GYRO,-0.045203995,-0.1499673,-0.029779658
1777951732895,ACCEL,1.1102697,5.339584,8.243274
1777951732895,GYRO,0.014966187,-0.123089254,-0.014202606
1777951732914,ACCEL,1.1365907,5.363512,7.914261
1777951732914,GYRO,0.03940078,-0.12828161,-0.013591741
1777951732934,GYRO,0.013133593,-0.1395826,-0.0074830935
1777951732934,ACCEL,1.2191432,5.3742795,7.818548
1777951732953,ACCEL,1.2227324,5.395815,7.820941
1777951732953,GYRO,-0.018631376,-0.14446951,-0.0108428495
1777951732973,GYRO,-0.04459313,-0.14538582,-0.016951498
1777951732973,ACCEL,1.1844472,5.410172,7.932207
1777951732991,ACCEL,1.1186446,5.389833,8.085348
1777951732991,GYRO,-0.05650499,-0.15302163,-0.026725333
1777951733010,ACCEL,1.2000005,5.3647084,8.2145605
1777951733010,GYRO,-0.028099779,-0.1423315,-0.027947064
1777951733029,GYRO,0.011300999,-0.11453715,-0.023365578
1777951733029,ACCEL,1.3040884,5.343173,8.049456
1777951733048,GYRO,0.014966187,-0.08857539,-0.02489274
1777951733048,ACCEL,1.2358929,5.363512,8.148758
1777951733067,ACCEL,1.2382857,5.375476,8.311469
1777951733067,GYRO,0.013744458,-0.040011644,-0.023060145
1777951733087,ACCEL,1.2717853,5.42094,8.175078
1777951733087,GYRO,0.040011644,-0.017715078,-0.028252495
1777951733106,ACCEL,1.274178,5.3539405,7.8867435
1777951733106,GYRO,0.09010255,-0.050396346,-0.026725333
1777951733124,GYRO,0.20127994,-0.11148282,0.054825112
1777951733125,ACCEL,1.5433706,5.1086764,8.026724
1777951733144,GYRO,0.16646065,0.05222894,0.042607818
1777951733144,ACCEL,1.538585,5.639883,8.1344
1777951733163,GYRO,0.11026109,0.22052218,0.02611447
1777951733163,ACCEL,1.2335001,5.6757755,8.01117
1777951733181,GYRO,0.05650499,0.16187917,0.0025961753
1777951733182,ACCEL,1.3052847,5.5597234,7.5816584
1777951733201,ACCEL,1.2430713,5.430511,7.2753773
1777951733201,GYRO,0.050090913,-0.07147118,-0.023976443
1777951733223,GYRO,0.022907428,-0.19181155,-0.011759147
1777951733223,ACCEL,1.4452649,5.4412785,7.4847493
1777951733239,GYRO,-0.050090913,-0.14844014,-0.027336199
1777951733242,ACCEL,1.314856,5.5262237,7.7144604
1777951733260,GYRO,-0.074525505,-0.1310305,-0.033139415
1777951733260,ACCEL,1.2562319,5.4125648,8.002795
1777951733277,GYRO,-0.03848448,-0.11117739,-0.029168794
1777951733277,ACCEL,1.3914263,5.346762,8.200203
1777951733296,GYRO,0.011606431,-0.053145237,-0.031001387
1777951733296,ACCEL,1.375873,5.4388857,8.132008
1777951733315,ACCEL,1.3100704,5.4412785,7.783852
1777951733315,GYRO,0.04612029,-0.029016078,-0.0368046
1777951733335,GYRO,0.034208428,-0.07086031,-0.035582874
1777951733335,ACCEL,1.3423735,5.3922257,7.52782
1777951733353,GYRO,0.0097738365,-0.14202607,-0.03649917
1777951733354,ACCEL,1.3375878,5.4388857,7.676175
1777951733373,GYRO,0.0027488915,-0.16493349,-0.030695954
1777951733373,ACCEL,1.3328022,5.528617,7.9070826
1777951733392,ACCEL,1.3710874,5.5070815,7.91785
1777951733392,GYRO,0.009162972,-0.1508836,-0.028557928
1777951733411,GYRO,0.020769402,-0.16157374,-0.02489274
1777951733411,ACCEL,1.375873,5.5022955,7.9238324
1777951733430,GYRO,0.043371398,-0.16798781,-0.025198173
1777951733430,ACCEL,1.3986049,5.5453663,7.9501534
1777951733449,ACCEL,1.402194,5.572884,7.844869
1777951733449,GYRO,0.06627883,-0.16737695,-0.028863361
1777951733468,GYRO,0.037262753,-0.13164136,-0.030695954
1777951733468,ACCEL,1.4560326,5.556134,7.8580294
1777951733487,GYRO,-0.016493348,-0.10415245,-0.03527744
1777951733487,ACCEL,1.4859428,5.5716877,7.881958
1777951733507,GYRO,-0.026267186,-0.14477496,-0.041691523
1777951733507,ACCEL,1.5158532,5.5298133,8.013563
1777951733525,GYRO,-0.011911863,-0.14446951,-0.0368046
1777951733525,ACCEL,1.6857436,5.505885,8.10449
1777951733544,ACCEL,1.7922242,5.45085,8.154739
1777951733544,GYRO,-0.0018325944,-0.0772744,-0.029168794
1777951733564,GYRO,0.029626941,-0.036346454,-0.027336199
1777951733564,ACCEL,1.7228323,5.4017973,8.273184
1777951733583,GYRO,0.059253883,-0.047952887,-0.03649917
1777951733583,ACCEL,1.713261,5.554938,8.215756
1777951733602,GYRO,0.04978548,-0.12553272,-0.064904384
1777951733602,ACCEL,1.5744773,5.6004014,8.067402
1777951733621,GYRO,0.013439025,-0.2403753,-0.062155493
1777951733621,ACCEL,1.5110675,5.552545,7.960921
1777951733640,GYRO,-0.035430156,-0.3149008,-0.061544627
1777951733640,ACCEL,1.6115661,5.5334024,8.021938
1777951733659,GYRO,-0.07024945,-0.2800815,-0.06856957
1777951733659,ACCEL,1.605584,5.564509,8.111669
1777951733678,ACCEL,1.5577276,5.5298133,8.038688
1777951733678,GYRO,-0.05894845,-0.25656322,-0.054519683
1777951733698,ACCEL,1.6031911,5.5908303,8.003992
1777951733698,GYRO,-0.045203995,-0.30207264,-0.040775225
1777951733719,GYRO,-0.08032872,-0.2837467,-0.055435978
1777951733719,ACCEL,1.7958134,5.692525,7.838887
1777951733735,GYRO,-0.160352,-0.17653993,-0.0490219
1777951733735,ACCEL,1.6295122,5.485546,6.3397837
1777951733759,GYRO,-0.44501498,-0.31154105,-0.05665771
1777951733759,ACCEL,2.4358935,5.7667027,6.562316
1777951733773,GYRO,-0.4819723,-0.16126831,-0.09483676
1777951733773,ACCEL,1.8364913,5.304888,8.411968
1777951733792,GYRO,-0.14782928,0.015577052,-0.025809037
1777951733793,ACCEL,1.9369899,5.1661043,9.42174
1777951733811,GYRO,0.15302163,0.083688475,-0.049327333
1777951733812,ACCEL,2.152344,5.0572305,8.386844
1777951733831,GYRO,0.22876886,0.05986475,-0.04780017
1777951733831,ACCEL,2.0458634,5.2199426,7.826923
1777951733849,ACCEL,1.9286151,5.346762,7.655836
1777951733849,GYRO,0.18509203,0.054366965,-0.03894263
1777951733868,GYRO,0.13255766,0.0042760535,-0.03497201
1777951733869,ACCEL,1.9812572,5.386244,7.7551384
1777951733888,GYRO,0.083383046,-0.031459536,-0.0377209
1777951733888,ACCEL,1.9740787,5.4843497,7.8352976
1777951733907,ACCEL,1.8245273,5.4664035,7.7036924
1777951733907,GYRO,0.038789913,-0.08491021,-0.041691523
1777951733926,GYRO,-0.02443459,-0.10720677,-0.03252855
1777951733926,ACCEL,1.8173488,5.413761,7.7419777
1777951733945,GYRO,-0.06597339,-0.10140356,-0.029474225
1777951733945,ACCEL,1.7766708,5.4388857,7.987242
1777951733964,ACCEL,1.881955,5.4999027,8.090134
1777951733964,GYRO,-0.05589413,-0.046731155,-0.038026333
1777951733983,GYRO,-0.040011644,-0.017104214,-0.055435978
1777951733983,ACCEL,1.8568304,5.456832,7.921439
