Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777990676252,CLICK,0,0,com.mele.logger
1777990677023,SCROLL,0,0,com.sec.android.app.launcher
1777990677944,CLICK,0,0,com.sec.android.app.launcher
1777990678985,CLICK,0,0,com.ss.android.ugc.trill
1777990679629,SCROLL,0,14343,com.ss.android.ugc.trill
1777990684029,SCROLL,0,16233,com.ss.android.ugc.trill
1777990684137,SCROLL,0,16392,com.ss.android.ugc.trill
1777990687861,SCROLL,0,17073,com.ss.android.ugc.trill
1777990687965,SCROLL,0,18429,com.ss.android.ugc.trill
1777990688122,SCROLL,0,18441,com.ss.android.ugc.trill
1777990691087,SCROLL,0,20000,com.ss.android.ugc.trill
1777990691189,SCROLL,0,20488,com.ss.android.ugc.trill
1777990691306,SCROLL,0,20490,com.ss.android.ugc.trill
1777990693560,SCROLL,0,22359,com.ss.android.ugc.trill
1777990693666,SCROLL,0,22539,com.ss.android.ugc.trill
1777990697270,SCROLL,0,24223,com.ss.android.ugc.trill
1777990697379,SCROLL,0,24587,com.ss.android.ugc.trill
1777990697497,SCROLL,0,24588,com.ss.android.ugc.trill
1777990698790,SCROLL,0,26314,com.ss.android.ugc.trill
1777990698898,SCROLL,0,26636,com.ss.android.ugc.trill
1777990699008,SCROLL,0,26637,com.ss.android.ugc.trill
1777990714629,SCROLL,0,26979,com.ss.android.ugc.trill
1777990714733,SCROLL,0,28146,com.ss.android.ugc.trill
1777990714842,SCROLL,0,28683,com.ss.android.ugc.trill
1777990714969,SCROLL,0,28686,com.ss.android.ugc.trill
1777990720207,SCROLL,0,30381,com.ss.android.ugc.trill
1777990720317,SCROLL,0,30734,com.ss.android.ugc.trill
1777990720433,SCROLL,0,30735,com.ss.android.ugc.trill
1777990722355,SCROLL,0,31907,com.ss.android.ugc.trill
1777990722458,SCROLL,0,32777,com.ss.android.ugc.trill
1777990722580,SCROLL,0,32784,com.ss.android.ugc.trill
1777990724361,SCROLL,495,0,com.ss.android.ugc.trill
1777990724468,SCROLL,885,0,com.ss.android.ugc.trill
