Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777991068813,CLICK,0,0,com.mele.logger
1777991070157,CLICK,0,0,com.sec.android.app.launcher
1777991071140,CLICK,0,0,com.ss.android.ugc.trill
1777991071851,SCROLL,0,290958,com.ss.android.ugc.trill
1777991073956,SCROLL,0,292792,com.ss.android.ugc.trill
1777991074063,SCROLL,0,293007,com.ss.android.ugc.trill
1777991075156,SCROLL,0,294903,com.ss.android.ugc.trill
1777991075261,SCROLL,0,295056,com.ss.android.ugc.trill
1777991080251,SCROLL,0,0,com.ss.android.ugc.trill
1777991080494,SCROLL,0,0,com.ss.android.ugc.trill
1777991081215,SCROLL,0,0,com.ss.android.ugc.trill
1777991081319,SCROLL,0,0,com.ss.android.ugc.trill
1777991081428,SCROLL,0,0,com.ss.android.ugc.trill
1777991081537,SCROLL,0,0,com.ss.android.ugc.trill
1777991081643,SCROLL,0,0,com.ss.android.ugc.trill
1777991081745,SCROLL,0,0,com.ss.android.ugc.trill
1777991081862,SCROLL,0,0,com.ss.android.ugc.trill
1777991081976,SCROLL,0,0,com.ss.android.ugc.trill
1777991092492,SCROLL,0,296782,com.ss.android.ugc.trill
1777991092600,SCROLL,0,297104,com.ss.android.ugc.trill
1777991092707,SCROLL,0,297105,com.ss.android.ugc.trill
1777991102203,SCROLL,0,298807,com.ss.android.ugc.trill
1777991102311,SCROLL,0,299153,com.ss.android.ugc.trill
1777991102417,SCROLL,0,299154,com.ss.android.ugc.trill
1777991193085,SCROLL,0,300774,com.ss.android.ugc.trill
1777991193193,SCROLL,0,301201,com.ss.android.ugc.trill
1777991193300,SCROLL,0,301203,com.ss.android.ugc.trill
1777991194177,SCROLL,0,302412,com.ss.android.ugc.trill
1777991194287,SCROLL,0,303245,com.ss.android.ugc.trill
1777991194417,SCROLL,0,303252,com.ss.android.ugc.trill
1777991196426,SCROLL,0,304466,com.ss.android.ugc.trill
1777991196530,SCROLL,0,305294,com.ss.android.ugc.trill
1777991196647,SCROLL,0,305301,com.ss.android.ugc.trill
1777991207286,SCROLL,0,305530,com.ss.android.ugc.trill
1777991207390,SCROLL,0,305687,com.ss.android.ugc.trill
1777991207490,SCROLL,0,307182,com.ss.android.ugc.trill
1777991207594,SCROLL,0,307350,com.ss.android.ugc.trill
1777991237180,SCROLL,0,307600,com.ss.android.ugc.trill
1777991237283,SCROLL,0,307744,com.ss.android.ugc.trill
1777991237387,SCROLL,0,307779,com.ss.android.ugc.trill
1777991237509,SCROLL,0,308115,com.ss.android.ugc.trill
1777991237622,SCROLL,0,309387,com.ss.android.ugc.trill
1777991237740,SCROLL,0,309399,com.ss.android.ugc.trill
1777991247783,SCROLL,0,309845,com.ss.android.ugc.trill
1777991247891,SCROLL,0,311338,com.ss.android.ugc.trill
1777991247997,SCROLL,0,311448,com.ss.android.ugc.trill
1777991249102,SCROLL,0,311534,com.ss.android.ugc.trill
1777991249210,SCROLL,0,311575,com.ss.android.ugc.trill
1777991249337,SCROLL,0,312188,com.ss.android.ugc.trill
1777991249446,SCROLL,0,313486,com.ss.android.ugc.trill
1777991249566,SCROLL,0,313497,com.ss.android.ugc.trill
1777991334182,SCROLL,0,313819,com.ss.android.ugc.trill
1777991334286,SCROLL,0,314015,com.ss.android.ugc.trill
1777991334386,SCROLL,0,313523,com.ss.android.ugc.trill
1777991334490,SCROLL,0,313497,com.ss.android.ugc.trill
1777991335047,SCROLL,0,314412,com.ss.android.ugc.trill
1777991335150,SCROLL,0,315536,com.ss.android.ugc.trill
1777991335278,SCROLL,0,315546,com.ss.android.ugc.trill
1777991359924,SCROLL,0,316119,com.ss.android.ugc.trill
1777991360027,SCROLL,0,317577,com.ss.android.ugc.trill
1777991360151,SCROLL,0,317595,com.ss.android.ugc.trill
1777991364191,SCROLL,0,317684,com.ss.android.ugc.trill
1777991364299,SCROLL,0,317737,com.ss.android.ugc.trill
1777991364404,SCROLL,0,317916,com.ss.android.ugc.trill
1777991364507,SCROLL,0,319478,com.ss.android.ugc.trill
1777991364614,SCROLL,0,319644,com.ss.android.ugc.trill
1777991384064,CLICK,0,0,com.sec.android.app.launcher
