Timestamp,Sensor_Type,X,Y,Z
1777534188596,ACCEL,3.438486,5.4293146,7.4452677
1777534188611,GYRO,-0.10583232,0.34773478,-0.016035201
1777534188611,ACCEL,2.993421,5.4987063,7.456035
1777534188630,GYRO,-0.14798199,0.28970262,0.06856957
1777534188630,ACCEL,2.8773692,5.642276,7.5385876
1777534188650,GYRO,-0.13148865,0.26251915,0.15531237
1777534188650,ACCEL,2.841477,5.554938,7.6833534
1777534188668,ACCEL,2.8055844,5.3383875,7.584051
1777534188668,GYRO,-0.07437278,0.28512114,0.23014331
1777534188687,GYRO,-0.058795735,0.29733843,0.27931792
1777534188687,ACCEL,2.8462625,5.3479586,7.2023964
1777534188706,GYRO,-0.12935062,0.28451028,0.28817546
1777534188706,ACCEL,2.8642087,5.3814583,7.176075
1777534188726,ACCEL,2.8953154,5.272585,7.6067834
1777534188726,GYRO,-0.19288056,0.37827802,0.29000807
1777534188745,GYRO,-0.18096869,0.47693267,0.31444263
1777534188745,ACCEL,2.8175488,5.109873,7.8352976
1777534188764,ACCEL,2.766103,4.928018,7.8317084
1777534188764,GYRO,-0.13668099,0.5196932,0.37308568
1777534188783,ACCEL,2.853441,4.846662,7.96451
1777534188786,GYRO,-0.119271345,0.5239693,0.40790495
1777534188803,GYRO,-0.12965605,0.5563451,0.41004297
1777534188803,ACCEL,2.879762,4.8442693,8.160722
1777534188821,GYRO,-0.1262963,0.55695593,0.39385507
1777534188821,ACCEL,2.9563324,5.0512486,8.23131
1777534188840,GYRO,-0.11957678,0.56642437,0.3526217
1777534188840,ACCEL,3.0149565,5.063213,8.181061
1777534188859,GYRO,-0.13668099,0.56703526,0.34620762
1777534188859,ACCEL,2.8139594,4.85743,8.160722
1777534188878,GYRO,-0.16875139,0.52793986,0.32421649
1777534188878,ACCEL,2.8151557,4.7832522,8.070991
1777534188897,ACCEL,2.8354948,4.8059845,8.22772
1777534188898,GYRO,-0.23777911,0.44547313,0.2848157
1777534188917,ACCEL,2.8594232,4.7282176,8.720642
1777534188917,GYRO,-0.32024586,0.44516772,0.23838998
1777534188935,GYRO,-0.28053966,0.44425142,0.17699806
1777534188935,ACCEL,2.7672994,4.4925246,8.732606
1777534188954,ACCEL,2.4921248,4.223332,8.602198
1777534188955,GYRO,-0.18585561,0.3675879,0.16936226
1777534188974,GYRO,-0.13820815,0.240528,0.17730351
1777534188974,ACCEL,2.5184457,4.3034916,8.141579
1777534188993,GYRO,-0.14584397,0.015424335,0.14492767
1777534188993,ACCEL,2.5268207,4.23051,7.9274216
1777534189012,GYRO,-0.17730351,-0.11866048,0.12415826
1777534189012,ACCEL,2.6392834,4.3262234,7.954939
1777534189031,GYRO,-0.22281294,-0.15531237,0.076816246
1777534189031,ACCEL,2.751746,4.505685,8.149954
1777534189050,GYRO,-0.2762636,-0.07498365,0.028863361
1777534189050,ACCEL,2.6105695,4.5248275,8.196614
1777534189070,ACCEL,2.4969103,4.412365,8.17149
1777534189070,GYRO,-0.31932956,-1.527162E-4,0.059101168
1777534189088,GYRO,-0.34009898,-0.024587307,0.09117157
1777534189088,ACCEL,2.6081767,4.5020957,8.147561
1777534189107,GYRO,-0.3159698,-0.072540194,0.0594066
1777534189107,ACCEL,2.7062824,4.4925246,8.585447
1777534189127,GYRO,-0.23044874,0.044134982,0.05177079
1777534189127,ACCEL,2.6703901,4.3764725,8.992228
1777534189146,GYRO,-0.1122464,0.19104797,0.075289086
1777534189146,ACCEL,2.5591238,4.2341,8.932407
1777534189164,GYRO,-0.011759147,0.20815217,0.07803798
1777534189165,ACCEL,2.4849463,4.17069,8.689535
1777534189184,GYRO,0.033444848,0.16539164,0.066126116
1777534189184,ACCEL,2.5220351,4.132405,8.556734
1777534189203,GYRO,0.032833982,0.13729186,0.039553493
1777534189203,ACCEL,2.5495524,4.0977087,8.627322
1777534189222,GYRO,0.081397735,0.13698642,0.04291325
1777534189222,ACCEL,2.5579274,4.040281,8.644072
1777534189241,GYRO,0.08628465,0.16905683,0.07315106
1777534189241,ACCEL,2.629712,4.0211387,8.361719
1777534189261,ACCEL,2.5818555,3.9541395,8.676374
1777534189261,GYRO,0.21426082,0.023365578,0.069485866
1777534189279,ACCEL,2.7984061,4.269992,8.688339
1777534189279,GYRO,0.30497423,0.105526894,0.064904384
1777534189298,GYRO,0.2942841,0.31383178,0.008093959
1777534189298,ACCEL,2.7876384,4.5116673,8.506484
1777534189317,ACCEL,2.4095724,4.3968115,8.29113
1777534189318,GYRO,0.15225805,0.5581777,0.015424335
1777534189336,GYRO,-0.0481056,0.5319105,0.019089524
1777534189336,ACCEL,2.2265215,4.432704,7.7036924
1777534189355,GYRO,-0.18402301,0.1452331,-0.03375028
1777534189355,ACCEL,2.0231316,4.5894337,7.783852
1777534189374,ACCEL,1.9441684,4.761717,8.559127
1777534189376,GYRO,-0.18127412,-0.011453714,-0.07101303
1777534189395,GYRO,-0.044134982,0.25579962,-0.09453133
1777534189395,ACCEL,1.7670995,4.8382874,9.217153
1777534189414,GYRO,0.27931792,0.751211,-0.1262963
1777534189414,ACCEL,1.4991034,4.922036,9.500702
1777534189432,GYRO,0.7005092,1.117119,-0.09666935
1777534189432,ACCEL,1.1090733,4.651647,9.276974
1777534189451,GYRO,0.97234404,1.1678207,0.07192933
1777534189451,ACCEL,1.1078769,4.3872404,8.53161
1777534189470,GYRO,0.8852958,0.75701416,0.28878632
1777534189470,ACCEL,1.302892,4.347759,7.6402826
1777534189489,GYRO,0.46746427,0.1262963,0.32788166
1777534189489,ACCEL,1.7120646,4.566702,7.5254273
1777534189508,GYRO,-0.03894263,-0.42836893,0.19562945
1777534189508,ACCEL,2.2384856,4.7318068,7.90469
1777534189527,GYRO,-0.38133234,-0.92072594,-0.03375028
1777534189527,ACCEL,2.705086,4.813163,8.392825
1777534189546,GYRO,-0.49525863,-1.3217586,-0.26282457
1777534189547,ACCEL,2.9084759,4.666004,8.721839
1777534189565,GYRO,-0.44211337,-1.5838196,-0.44547313
1777534189565,ACCEL,3.0149565,4.453043,8.776874
1777534189584,GYRO,-0.29092434,-1.509905,-0.5270236
