Timestamp,Sensor_Type,X,Y,Z
1777899732308,ACCEL,0.31944183,-0.18424734,9.79143
1777899732317,GYRO,0.0013744457,-1.527162E-4,4.581486E-4
1777899732327,ACCEL,0.26679972,-0.14476576,9.8117695
1777899732336,GYRO,-7.6358096E-4,0.0019853106,-1.527162E-4
1777899732346,ACCEL,0.23569304,-0.20458634,9.798609
1777899732355,GYRO,-0.0019853106,-4.581486E-4,-0.0010690134
1777899732365,ACCEL,0.21774685,-0.23928227,9.759128
1777899732374,GYRO,-4.581486E-4,-7.6358096E-4,-1.527162E-4
1777899732384,ACCEL,0.23449662,-0.25842485,9.769895
1777899732394,GYRO,0.0019853106,-0.0025961753,-4.581486E-4
1777899732403,ACCEL,0.28953153,-0.17347965,9.77468
1777899732413,GYRO,0.0010690134,-4.581486E-4,-1.527162E-4
1777899732423,ACCEL,0.30867413,-0.15074782,9.8117695
1777899732432,GYRO,-7.6358096E-4,7.6358096E-4,-4.581486E-4
1777899732441,ACCEL,0.2632105,-0.18544376,9.77827
1777899732451,GYRO,-0.002290743,0.0016798781,-1.527162E-4
1777899732461,ACCEL,0.23808585,-0.25244278,9.766306
1777899732470,GYRO,7.6358096E-4,7.6358096E-4,-1.527162E-4
1777899732479,ACCEL,0.2213361,-0.23808585,9.772287
1777899732489,GYRO,0.0019853106,-0.0010690134,-1.527162E-4
1777899732499,ACCEL,0.2632105,-0.18783657,9.805787
1777899732508,GYRO,0.0016798781,-0.0025961753,-7.6358096E-4
1777899732518,ACCEL,0.29790643,-0.15792629,9.805787
1777899732528,GYRO,-0.0013744457,-1.527162E-4,1.527162E-4
1777899732537,ACCEL,0.29312077,-0.20578274,9.780663
1777899732546,GYRO,-0.0013744457,0.0010690134,-0.0010690134
1777899732556,ACCEL,0.2632105,-0.24885355,9.767502
1777899732565,GYRO,4.581486E-4,0.0010690134,-1.527162E-4
1777899732575,ACCEL,0.22971097,-0.22253251,9.779466
1777899732584,GYRO,0.0029016077,-4.581486E-4,-1.527162E-4
1777899732594,ACCEL,0.21415763,-0.18544376,9.816555
1777899732603,GYRO,7.6358096E-4,-0.0013744457,-4.581486E-4
1777899732613,ACCEL,0.2644069,-0.15314065,9.809377
1777899732623,GYRO,-7.6358096E-4,-0.0019853106,-1.527162E-4
1777899732633,ACCEL,0.27876383,-0.20697916,9.789038
1777899732642,GYRO,-0.002290743,-7.6358096E-4,-4.581486E-4
1777899732651,ACCEL,0.29192436,-0.24765715,9.74836
1777899732661,GYRO,7.6358096E-4,0.0013744457,-1.527162E-4
1777899732670,ACCEL,0.24765715,-0.22971097,9.79143
1777899732680,GYRO,0.0019853106,0.0019853106,-4.581486E-4
