Timestamp,Event_Type,ScrollDeltaX,ScrollDeltaY,PackageName
1777533495213,CLICK,0,0,com.mele.logger
1777533496903,CLICK,0,0,com.sec.android.app.launcher
1777533500481,CLICK,0,0,com.ss.android.ugc.trill
1777533501034,SCROLL,0,81960,com.ss.android.ugc.trill
1777533507910,CLICK,0,0,com.ss.android.ugc.trill
1777533508068,CLICK,0,0,com.ss.android.ugc.trill
1777533510098,CLICK,0,0,com.ss.android.ugc.trill
1777533510663,SCROLL,0,84009,com.ss.android.ugc.trill
1777533513159,SCROLL,0,85713,com.ss.android.ugc.trill
1777533513264,SCROLL,0,86057,com.ss.android.ugc.trill
1777533513381,SCROLL,0,86058,com.ss.android.ugc.trill
1777533516279,SCROLL,0,87608,com.ss.android.ugc.trill
1777533516382,SCROLL,0,88103,com.ss.android.ugc.trill
1777533516496,SCROLL,0,88107,com.ss.android.ugc.trill
1777533521303,SCROLL,0,89785,com.ss.android.ugc.trill
1777533521409,SCROLL,0,90155,com.ss.android.ugc.trill
1777533521515,SCROLL,0,90156,com.ss.android.ugc.trill
1777533523093,SCROLL,637,0,com.ss.android.ugc.trill
1777533523199,SCROLL,925,0,com.ss.android.ugc.trill
1777533523301,SCROLL,1044,0,com.ss.android.ugc.trill
1777533523409,SCROLL,1075,0,com.ss.android.ugc.trill
1777533523516,SCROLL,1080,0,com.ss.android.ugc.trill
1777533523761,SCROLL,1650,0,com.ss.android.ugc.trill
1777533523869,SCROLL,1997,0,com.ss.android.ugc.trill
1777533523976,SCROLL,2124,0,com.ss.android.ugc.trill
1777533524086,SCROLL,2156,0,com.ss.android.ugc.trill
1777533524202,SCROLL,2160,0,com.ss.android.ugc.trill
1777533524669,SCROLL,2754,0,com.ss.android.ugc.trill
1777533524778,SCROLL,3087,0,com.ss.android.ugc.trill
1777533524885,SCROLL,3202,0,com.ss.android.ugc.trill
1777533524987,SCROLL,3235,0,com.ss.android.ugc.trill
1777533525097,SCROLL,3240,0,com.ss.android.ugc.trill
1777533525138,SCROLL,0,90304,com.ss.android.ugc.trill
1777533525319,SCROLL,0,90306,com.ss.android.ugc.trill
1777533525525,SCROLL,0,90164,com.ss.android.ugc.trill
1777533525632,SCROLL,0,90156,com.ss.android.ugc.trill
1777533525796,SCROLL,3874,0,com.ss.android.ugc.trill
1777533525902,SCROLL,4163,0,com.ss.android.ugc.trill
1777533526004,SCROLL,4283,0,com.ss.android.ugc.trill
1777533526113,SCROLL,4315,0,com.ss.android.ugc.trill
1777533526219,SCROLL,4320,0,com.ss.android.ugc.trill
1777533526320,SCROLL,4943,0,com.ss.android.ugc.trill
1777533526430,SCROLL,5254,0,com.ss.android.ugc.trill
1777533526538,SCROLL,5367,0,com.ss.android.ugc.trill
1777533526647,SCROLL,5396,0,com.ss.android.ugc.trill
1777533526755,SCROLL,5400,0,com.ss.android.ugc.trill
1777533526906,SCROLL,6061,0,com.ss.android.ugc.trill
1777533527012,SCROLL,6336,0,com.ss.android.ugc.trill
1777533527112,SCROLL,6443,0,com.ss.android.ugc.trill
1777533527215,SCROLL,6475,0,com.ss.android.ugc.trill
1777533527322,SCROLL,6480,0,com.ss.android.ugc.trill
1777533531945,SCROLL,5833,0,com.ss.android.ugc.trill
1777533532053,SCROLL,5546,0,com.ss.android.ugc.trill
1777533532162,SCROLL,5437,0,com.ss.android.ugc.trill
