Timestamp,Sensor_Type,X,Y,Z
1777864655859,ACCEL,0.32183465,-0.12801601,9.712467
1777864655878,ACCEL,0.32063824,-0.12562318,9.734002
1777864655878,GYRO,4.581486E-4,-0.0010690134,-6.108648E-4
1777864655897,ACCEL,0.3290131,-0.1052842,9.737592
1777864655897,GYRO,1.527162E-4,-4.581486E-4,-6.108648E-4
1777864655916,ACCEL,0.33260235,-0.11365908,9.737592
1777864655916,GYRO,1.527162E-4,-7.6358096E-4,-3.054324E-4
1777864655936,GYRO,-1.527162E-4,-4.581486E-4,-3.054324E-4
1777864655936,ACCEL,0.3290131,-0.1160519,9.731609
1777864655954,ACCEL,0.33140594,-0.11844472,9.726824
1777864655954,GYRO,4.581486E-4,-7.6358096E-4,-6.108648E-4
1777864655974,GYRO,-1.527162E-4,-7.6358096E-4,-0.0
1777864655975,ACCEL,0.33260235,-0.12323037,9.724431
1777864655992,ACCEL,0.30867413,-0.12801601,9.736395
1777864655992,GYRO,-4.581486E-4,-4.581486E-4,-3.054324E-4
1777864656012,ACCEL,0.33260235,-0.11365908,9.722038
1777864656012,GYRO,1.527162E-4,-7.6358096E-4,3.054324E-4
1777864656031,GYRO,1.527162E-4,1.527162E-4,-3.054324E-4
1777864656031,ACCEL,0.33379877,-0.1160519,9.736395
1777864656050,ACCEL,0.33379877,-0.11006984,9.735199
1777864656050,GYRO,4.581486E-4,-4.581486E-4,-6.108648E-4
1777864656069,ACCEL,0.33379877,-0.12203395,9.730413
1777864656070,GYRO,7.6358096E-4,-4.581486E-4,-0.0
1777864656088,GYRO,1.527162E-4,-1.527162E-4,-3.054324E-4
1777864656088,ACCEL,0.32183465,-0.11964113,9.731609
1777864656107,ACCEL,0.3290131,-0.1160519,9.732806
1777864656108,GYRO,1.527162E-4,-0.0010690134,-0.0
1777864656126,GYRO,7.6358096E-4,4.581486E-4,-0.0
1777864656126,ACCEL,0.33260235,-0.124426775,9.728021
1777864656145,GYRO,7.6358096E-4,-4.581486E-4,-0.0
1777864656145,ACCEL,0.32542387,-0.1160519,9.742377
1777864656164,GYRO,4.581486E-4,-7.6358096E-4,-6.108648E-4
1777864656164,ACCEL,0.33379877,-0.12921242,9.736395
1777864656183,ACCEL,0.32063824,-0.11365908,9.734002
1777864656183,GYRO,-1.527162E-4,-7.6358096E-4,-3.054324E-4
1777864656203,ACCEL,0.3278167,-0.12562318,9.730413
1777864656203,GYRO,4.581486E-4,1.527162E-4,-6.108648E-4
1777864656221,GYRO,1.527162E-4,-1.527162E-4,3.054324E-4
1777864656221,ACCEL,0.3290131,-0.111266255,9.726824
1777864656242,GYRO,1.527162E-4,-7.6358096E-4,-0.0
1777864656242,ACCEL,0.33379877,-0.11844472,9.729217
1777864656259,GYRO,4.581486E-4,-4.581486E-4,-3.054324E-4
1777864656260,ACCEL,0.33379877,-0.12562318,9.735199
1777864656279,GYRO,4.581486E-4,-0.0010690134,-6.108648E-4
1777864656279,ACCEL,0.32183465,-0.11844472,9.732806
1777864656299,ACCEL,0.33020952,-0.12083755,9.735199
1777864656299,GYRO,4.581486E-4,-7.6358096E-4,-6.108648E-4
1777864656317,ACCEL,0.32183465,-0.11724831,9.720842
1777864656317,GYRO,7.6358096E-4,1.527162E-4,-6.108648E-4
1777864656337,GYRO,0.24083345,-0.21609342,-0.04092794
1777864656337,ACCEL,0.6221339,-0.15314065,10.862219
1777864656355,ACCEL,0.18664017,0.08973085,8.10808
1777864656355,GYRO,0.1348484,-0.023365578,-0.08796453
1777864656374,ACCEL,0.08135597,-0.18424734,9.865608
1777864656374,GYRO,-0.22250749,0.10827578,0.046731155
1777864656393,GYRO,-0.11560616,0.060322896,0.054366965
1777864656394,ACCEL,0.6269195,-0.011964113,10.01516
1777864656412,ACCEL,0.2548356,-0.15433706,9.767502
